orderId,orderDate,basketName,productId,side,orderQty,execQty,avgPrice,execNotional,account,sector,noteA,noteB,noteC,clientInstruction,parentOrder,adv,fxRate,pricingSymbol,country,exchange,prevClose,volume,isHalted,bidSize,vwap,high,lastSize,low,ask,bid,dataSource,close,askSize,open
VLX201811051084,2018-11-05,ZA_CLIENT_1_BUY,ZAE000015889,Buy,34369,0,0,,RISKPRIN,Consumer Discretionary,TWAP,12/21/2020 6:33,215.6277124,CLIENT_1,,422236,1,NPNJn.J,ZA,XJSE,215.8787186,1257457.971,FALSE,100,215.8787186,215.8787186,100,215.8787186,215.9706025,215.8970757,Simulated,215.8787186,100,215.8787186
VLX201811051550,2018-11-05,ZA_CLIENT_1_BUY,ZAE000066304,Buy,14378,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,3.503787132,CLIENT_1,,4620242,1,FSRJ.J,ZA,XJSE,3.630772508,18609847.42,FALSE,101,3.630772508,3.630772508,101,3.630772508,3.654771957,3.83258017,Simulated,3.630772508,101,3.630772508
VLX201811051839,2018-11-05,ZA_CLIENT_1_BUY,ZAE000109815,Buy,6083,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,8.935681943,CLIENT_1,,1278124,1,SBKJ.J,ZA,XJSE,9.362265418,4529441.955,FALSE,102,9.362265418,9.362265418,102,9.362265418,9.02018452,9.253693356,Simulated,9.362265418,102,9.362265418
VLX201811052388,2018-11-05,ZA_CLIENT_1_BUY,ZAE000259701,Buy,146450,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,3.947736775,CLIENT_1,,2645852,1,SSWJ.J,ZA,XJSE,4.322909896,13380060.73,FALSE,103,4.322909896,4.322909896,103,4.322909896,4.192965795,4.155313951,Simulated,4.322909896,103,4.322909896
VLX201811051711,2018-11-05,ZA_CLIENT_1_BUY,ZAE000083648,Buy,5719,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,13.48582395,CLIENT_1,,737509,1,IMPJ.J,ZA,XJSE,13.70415731,3757738.965,FALSE,104,13.70415731,13.70415731,104,13.70415731,13.95686692,13.85390819,Simulated,13.70415731,104,13.70415731
VLX20181105603,2018-11-05,ZA_CLIENT_1_BUY,ZAE000043485,Buy,27945,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,23.59216795,CLIENT_1,,415924,1,ANGJ.J,ZA,XJSE,23.62768692,1821071.072,FALSE,105,23.62768692,23.62768692,105,23.62768692,23.94549731,23.64159064,Simulated,23.62768692,105,23.62768692
VLX201811051480,2018-11-05,ZA_CLIENT_1_BUY,ZAE000018123,Buy,11858,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,9.742304128,CLIENT_1,,865202,1,GFIJ.J,ZA,XJSE,9.88797254,3316385.911,FALSE,106,9.88797254,9.88797254,106,9.88797254,9.913563843,10.20182477,Simulated,9.88797254,106,9.88797254
VLX20181105726,2018-11-05,ZA_CLIENT_1_BUY,ZAE000042164,Buy,138338,0,0,,RISKPRIN,Telecommunication Services,TWAP,12/21/2020 6:33,4.196348533,CLIENT_1,,1797598,1,MTNJ.J,ZA,XJSE,4.62484883,7728545.276,FALSE,107,4.62484883,4.62484883,107,4.62484883,4.353746601,4.595915634,Simulated,4.62484883,107,4.62484883
VLX20181105662,2018-11-05,ZA_CLIENT_1_BUY,ZAE000035861,Buy,14030,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,99.0349204,CLIENT_1,,75972,1,CPIJ.J,ZA,XJSE,99.08589639,410485.0062,FALSE,108,99.08589639,99.08589639,108,99.08589639,99.24418775,99.25909209,Simulated,99.08589639,108,99.08589639
VLX20181105824,2018-11-05,ZA_CLIENT_1_BUY,ZAE000070660,Buy,12388,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,3.925880813,CLIENT_1,,1666222,1,SLMJ.J,ZA,XJSE,4.285005964,7542504.943,FALSE,109,4.285005964,4.285005964,109,4.285005964,3.932372878,3.984279037,Simulated,4.285005964,109,4.285005964
VLX20181105179,2018-11-05,ZA_CLIENT_1_BUY,ZAE000216537,Buy,20248,0,0,,RISKPRIN,Consumer Staples,TWAP,12/21/2020 6:33,18.93479453,CLIENT_1,,332007,1,BIDJ.J,ZA,XJSE,19.26952409,1228671.978,FALSE,110,19.26952409,19.26952409,110,19.26952409,19.40067659,18.95297372,Simulated,19.26952409,110,19.26952409
VLX20181105366,2018-11-05,ZA_CLIENT_1_BUY,ZAE000255915,Buy,13514,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,8.180967341,CLIENT_1,,717384,1,ABGJ.J,ZA,XJSE,8.368863608,4595753.067,FALSE,111,8.368863608,8.368863608,111,8.368863608,8.251643402,8.462176451,Simulated,8.368863608,111,8.368863608
VLX20181105458,2018-11-05,ZA_CLIENT_1_BUY,ZAE000013181,Buy,24426,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,93.54907248,CLIENT_1,,61272,1,AMSJ.J,ZA,XJSE,93.68835589,295971.9984,FALSE,112,93.68835589,93.68835589,112,93.68835589,93.63852319,93.98893841,Simulated,93.68835589,112,93.68835589
VLX201811051255,2018-11-05,ZA_CLIENT_1_BUY,ZAE000006896,Buy,13316,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,9.630974884,CLIENT_1,,554644,1,SOLJ.J,ZA,XJSE,9.656612086,3358333.122,FALSE,113,9.656612086,9.656612086,113,9.656612086,9.693137616,9.731457851,Simulated,9.656612086,113,9.656612086
VLX201811052404,2018-11-05,ZA_CLIENT_1_BUY,ZAE000132577,Buy,1206,0,0,,RISKPRIN,Telecommunication Services,TWAP,12/21/2020 6:33,8.394063357,CLIENT_1,,595363,1,VODJ.J,ZA,XJSE,8.720626826,2194797.938,FALSE,114,8.720626826,8.720626826,114,8.720626826,8.784954875,8.523417923,Simulated,8.720626826,114,8.720626826
VLX2018110597,2018-11-05,ZA_CLIENT_1_BUY,ZAE000030912,Buy,16495,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,13.96938769,CLIENT_1,,343809,1,NHMJ.J,ZA,XJSE,14.19281161,1582717.075,FALSE,115,14.19281161,14.19281161,115,14.19281161,14.07085788,14.02096881,Simulated,14.19281161,115,14.19281161
VLX201811051424,2018-11-05,ZA_CLIENT_1_BUY,ZAE000012084,Buy,15001,0,0,,RISKPRIN,Consumer Staples,TWAP,12/21/2020 6:33,9.138532863,CLIENT_1,,490242,1,SHPJ.J,ZA,XJSE,9.282485593,2173715.985,FALSE,116,9.282485593,9.282485593,116,9.282485593,9.280211358,9.328126237,Simulated,9.282485593,116,9.282485593
VLX201811051364,2018-11-05,ZA_CLIENT_1_BUY,ZAE000134854,Buy,146450,0,0,,RISKPRIN,Consumer Staples,TWAP,12/21/2020 6:33,16.7669539,CLIENT_1,,238467,1,CLSJ.J,ZA,XJSE,17.18495703,926840.9683,FALSE,117,17.18495703,17.18495703,117,17.18495703,17.04866268,16.87239716,Simulated,17.18495703,117,17.18495703
VLX20181105498,2018-11-05,ZA_CLIENT_1_BUY,ZAE000265971,Buy,5719,0,0,,RISKPRIN,Telecommunication Services,TWAP,12/21/2020 6:33,9.022423165,CLIENT_1,,441801,1,MCGJ.J,ZA,XJSE,9.092091193,1662564.973,FALSE,118,9.092091193,9.092091193,118,9.092091193,9.50289022,9.425352526,Simulated,9.092091193,118,9.092091193
VLX20181105946,2018-11-05,ZA_CLIENT_1_BUY,ZAE000255360,Buy,27945,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,0.831893352,CLIENT_1,,4564472,1,OMUJ.J,ZA,XJSE,1.122361593,18174975.91,FALSE,119,1.122361593,1.122361593,119,1.122361593,0.974242953,1.258536537,Simulated,1.122361593,119,1.122361593
VLX20181105614,2018-11-05,ZA_CLIENT_1_BUY,ZAE000117321,Buy,11858,0,0,,RISKPRIN,Industrials,TWAP,12/21/2020 6:33,11.15474753,CLIENT_1,,338369,1,BVTJ.J,ZA,XJSE,11.63099956,1474543.002,FALSE,120,11.63099956,11.63099956,120,11.63099956,11.17429931,11.25427593,Simulated,11.63099956,120,11.63099956
VLX20181105818,2018-11-05,ZA_CLIENT_1_BUY,ZAE000022331,Buy,138338,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,10.29689935,CLIENT_1,,362850,1,DSYJ.J,ZA,XJSE,10.72821262,1530471.09,FALSE,121,10.72821262,10.72821262,121,10.72821262,10.67006499,10.74502357,Simulated,10.72821262,121,10.72821262
VLX201811051682,2018-11-05,ZA_CLIENT_1_BUY,ZAE000026480,Buy,14030,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,6.628509881,CLIENT_1,,504306,1,REMJ.J,ZA,XJSE,7.102193128,1441644.044,FALSE,122,7.102193128,7.102193128,122,7.102193128,7.115194924,6.976851699,Simulated,7.102193128,122,7.102193128
VLX201811051177,2018-11-05,ZA_CLIENT_1_BUY,ZAE000004875,Buy,20248,0,0,,RISKPRIN,Financials,TWAP,12/21/2020 6:33,8.82571899,CLIENT_1,,349130,1,NEDJ.J,ZA,XJSE,9.035087797,2731131.964,FALSE,123,9.035087797,9.035087797,123,9.035087797,8.997638154,8.935863858,Simulated,9.035087797,123,9.035087797
VLX20181105465,2018-11-05,ZA_CLIENT_1_BUY,ZAE000200457,Buy,34369,0,0,,RISKPRIN,Consumer Discretionary,TWAP,12/21/2020 6:33,11.56249725,CLIENT_1,,256814,1,MRPJ.J,ZA,XJSE,12.06113831,1823848.078,FALSE,124,12.06113831,12.06113831,124,12.06113831,11.94877773,11.67903227,Simulated,12.06113831,124,12.06113831
VLX201811051095,2018-11-05,ZA_CLIENT_1_BUY,ZAE000058517,Buy,6083,0,0,,RISKPRIN,Consumer Staples,TWAP,12/21/2020 6:33,12.81238645,CLIENT_1,,192242,1,SPPJ.J,ZA,XJSE,13.06668881,859424.9944,FALSE,125,13.06668881,13.06668881,125,13.06668881,12.96423489,13.10689777,Simulated,13.06668881,125,13.06668881
VLX201811052076,2018-11-05,ZA_CLIENT_1_BUY,ZAE000015228,Buy,146450,0,0,,RISKPRIN,Materials,TWAP,12/21/2020 6:33,4.780996157,CLIENT_1,,510322,1,HARJ.J,ZA,XJSE,4.98663476,3272115.073,FALSE,126,4.98663476,4.98663476,126,4.98663476,4.881525575,5.076207939,Simulated,4.98663476,126,4.98663476
